Date,PX_LAST,source
2023-07-03,1068.0,Baltic Dry Index (Freight Proxy)
2023-07-04,1044.0,Baltic Dry Index (Freight Proxy)
2023-07-05,994.0,Baltic Dry Index (Freight Proxy)
2023-07-06,993.0,Baltic Dry Index (Freight Proxy)
2023-07-07,1009.0,Baltic Dry Index (Freight Proxy)
2023-07-10,1024.0,Baltic Dry Index (Freight Proxy)
2023-07-11,1032.0,Baltic Dry Index (Freight Proxy)
2023-07-12,1088.0,Baltic Dry Index (Freight Proxy)
2023-07-13,1103.0,Baltic Dry Index (Freight Proxy)
2023-07-14,1090.0,Baltic Dry Index (Freight Proxy)
2023-07-17,1073.0,Baltic Dry Index (Freight Proxy)
2023-07-18,1037.0,Baltic Dry Index (Freight Proxy)
2023-07-19,1004.0,Baltic Dry Index (Freight Proxy)
2023-07-20,977.0,Baltic Dry Index (Freight Proxy)
2023-07-21,978.0,Baltic Dry Index (Freight Proxy)
2023-07-24,967.0,Baltic Dry Index (Freight Proxy)
2023-07-25,962.0,Baltic Dry Index (Freight Proxy)
2023-07-26,1067.0,Baltic Dry Index (Freight Proxy)
2023-07-27,1097.0,Baltic Dry Index (Freight Proxy)
2023-07-28,1110.0,Baltic Dry Index (Freight Proxy)
2023-07-31,1127.0,Baltic Dry Index (Freight Proxy)
2023-08-01,1150.0,Baltic Dry Index (Freight Proxy)
2023-08-02,1123.0,Baltic Dry Index (Freight Proxy)
2023-08-03,1128.0,Baltic Dry Index (Freight Proxy)
2023-08-04,1136.0,Baltic Dry Index (Freight Proxy)
2023-08-07,1145.0,Baltic Dry Index (Freight Proxy)
2023-08-08,1142.0,Baltic Dry Index (Freight Proxy)
2023-08-09,1144.0,Baltic Dry Index (Freight Proxy)
2023-08-10,1137.0,Baltic Dry Index (Freight Proxy)
2023-08-11,1129.0,Baltic Dry Index (Freight Proxy)
2023-08-14,1135.0,Baltic Dry Index (Freight Proxy)
2023-08-15,1166.0,Baltic Dry Index (Freight Proxy)
2023-08-16,1233.0,Baltic Dry Index (Freight Proxy)
2023-08-17,1247.0,Baltic Dry Index (Freight Proxy)
2023-08-18,1237.0,Baltic Dry Index (Freight Proxy)
2023-08-21,1223.0,Baltic Dry Index (Freight Proxy)
2023-08-22,1194.0,Baltic Dry Index (Freight Proxy)
2023-08-23,1151.0,Baltic Dry Index (Freight Proxy)
2023-08-24,1110.0,Baltic Dry Index (Freight Proxy)
2023-08-25,1080.0,Baltic Dry Index (Freight Proxy)
2023-08-29,1107.0,Baltic Dry Index (Freight Proxy)
2023-08-30,1094.0,Baltic Dry Index (Freight Proxy)
2023-08-31,1086.0,Baltic Dry Index (Freight Proxy)
2023-09-01,1065.0,Baltic Dry Index (Freight Proxy)
2023-09-04,1083.0,Baltic Dry Index (Freight Proxy)
2023-09-05,1063.0,Baltic Dry Index (Freight Proxy)
2023-09-06,1081.0,Baltic Dry Index (Freight Proxy)
2023-09-07,1141.0,Baltic Dry Index (Freight Proxy)
2023-09-08,1186.0,Baltic Dry Index (Freight Proxy)
2023-09-11,1209.0,Baltic Dry Index (Freight Proxy)
2023-09-12,1235.0,Baltic Dry Index (Freight Proxy)
2023-09-13,1290.0,Baltic Dry Index (Freight Proxy)
2023-09-14,1340.0,Baltic Dry Index (Freight Proxy)
2023-09-15,1381.0,Baltic Dry Index (Freight Proxy)
2023-09-18,1439.0,Baltic Dry Index (Freight Proxy)
2023-09-19,1526.0,Baltic Dry Index (Freight Proxy)
2023-09-20,1584.0,Baltic Dry Index (Freight Proxy)
2023-09-21,1569.0,Baltic Dry Index (Freight Proxy)
2023-09-22,1593.0,Baltic Dry Index (Freight Proxy)
2023-09-25,1614.0,Baltic Dry Index (Freight Proxy)
2023-09-26,1694.0,Baltic Dry Index (Freight Proxy)
2023-09-27,1752.0,Baltic Dry Index (Freight Proxy)
2023-09-28,1716.0,Baltic Dry Index (Freight Proxy)
2023-09-29,1701.0,Baltic Dry Index (Freight Proxy)
2023-10-02,1737.0,Baltic Dry Index (Freight Proxy)
2023-10-03,1780.0,Baltic Dry Index (Freight Proxy)
2023-10-04,1778.0,Baltic Dry Index (Freight Proxy)
2023-10-05,1827.0,Baltic Dry Index (Freight Proxy)
2023-10-06,1929.0,Baltic Dry Index (Freight Proxy)
2023-10-09,1991.0,Baltic Dry Index (Freight Proxy)
2023-10-10,1983.0,Baltic Dry Index (Freight Proxy)
2023-10-11,1948.0,Baltic Dry Index (Freight Proxy)
2023-10-12,1935.0,Baltic Dry Index (Freight Proxy)
2023-10-13,1945.0,Baltic Dry Index (Freight Proxy)
2023-10-16,1972.0,Baltic Dry Index (Freight Proxy)
2023-10-17,2058.0,Baltic Dry Index (Freight Proxy)
2023-10-18,2105.0,Baltic Dry Index (Freight Proxy)
2023-10-19,2071.0,Baltic Dry Index (Freight Proxy)
2023-10-20,2046.0,Baltic Dry Index (Freight Proxy)
2023-10-23,2017.0,Baltic Dry Index (Freight Proxy)
2023-10-24,1949.0,Baltic Dry Index (Freight Proxy)
2023-10-25,1832.0,Baltic Dry Index (Freight Proxy)
2023-10-26,1662.0,Baltic Dry Index (Freight Proxy)
2023-10-27,1563.0,Baltic Dry Index (Freight Proxy)
2023-10-30,1502.0,Baltic Dry Index (Freight Proxy)
2023-10-31,1459.0,Baltic Dry Index (Freight Proxy)
2023-11-01,1401.0,Baltic Dry Index (Freight Proxy)
2023-11-02,1385.0,Baltic Dry Index (Freight Proxy)
2023-11-03,1462.0,Baltic Dry Index (Freight Proxy)
2023-11-06,1523.0,Baltic Dry Index (Freight Proxy)
2023-11-07,1559.0,Baltic Dry Index (Freight Proxy)
2023-11-08,1530.0,Baltic Dry Index (Freight Proxy)
2023-11-09,1598.0,Baltic Dry Index (Freight Proxy)
2023-11-10,1643.0,Baltic Dry Index (Freight Proxy)
2023-11-13,1655.0,Baltic Dry Index (Freight Proxy)
2023-11-14,1662.0,Baltic Dry Index (Freight Proxy)
2023-11-15,1688.0,Baltic Dry Index (Freight Proxy)
2023-11-16,1758.0,Baltic Dry Index (Freight Proxy)
2023-11-17,1820.0,Baltic Dry Index (Freight Proxy)
2023-11-20,1817.0,Baltic Dry Index (Freight Proxy)
2023-11-21,1796.0,Baltic Dry Index (Freight Proxy)
2023-11-22,1755.0,Baltic Dry Index (Freight Proxy)
2023-11-23,1855.0,Baltic Dry Index (Freight Proxy)
2023-11-24,2102.0,Baltic Dry Index (Freight Proxy)
2023-11-27,2259.0,Baltic Dry Index (Freight Proxy)
2023-11-28,2391.0,Baltic Dry Index (Freight Proxy)
2023-11-29,2696.0,Baltic Dry Index (Freight Proxy)
2023-11-30,2937.0,Baltic Dry Index (Freight Proxy)
2023-12-01,3192.0,Baltic Dry Index (Freight Proxy)
2023-12-04,3346.0,Baltic Dry Index (Freight Proxy)
2023-12-05,3143.0,Baltic Dry Index (Freight Proxy)
2023-12-06,2848.0,Baltic Dry Index (Freight Proxy)
2023-12-07,2495.0,Baltic Dry Index (Freight Proxy)
2023-12-08,2483.0,Baltic Dry Index (Freight Proxy)
2023-12-11,2509.0,Baltic Dry Index (Freight Proxy)
2023-12-12,2551.0,Baltic Dry Index (Freight Proxy)
2023-12-13,2438.0,Baltic Dry Index (Freight Proxy)
2023-12-14,2411.0,Baltic Dry Index (Freight Proxy)
2023-12-15,2348.0,Baltic Dry Index (Freight Proxy)
2023-12-18,2288.0,Baltic Dry Index (Freight Proxy)
2023-12-19,2219.0,Baltic Dry Index (Freight Proxy)
2023-12-20,2150.0,Baltic Dry Index (Freight Proxy)
2023-12-21,2087.0,Baltic Dry Index (Freight Proxy)
2023-12-22,2094.0,Baltic Dry Index (Freight Proxy)
2024-01-02,2093.0,Baltic Dry Index (Freight Proxy)
2024-01-03,2091.0,Baltic Dry Index (Freight Proxy)
2024-01-04,2086.0,Baltic Dry Index (Freight Proxy)
2024-01-05,2110.0,Baltic Dry Index (Freight Proxy)
2024-01-08,2022.0,Baltic Dry Index (Freight Proxy)
2024-01-09,1875.0,Baltic Dry Index (Freight Proxy)
2024-01-10,1664.0,Baltic Dry Index (Freight Proxy)
2024-01-11,1554.0,Baltic Dry Index (Freight Proxy)
2024-01-12,1460.0,Baltic Dry Index (Freight Proxy)
2024-01-15,1360.0,Baltic Dry Index (Freight Proxy)
2024-01-16,1324.0,Baltic Dry Index (Freight Proxy)
2024-01-17,1308.0,Baltic Dry Index (Freight Proxy)
2024-01-18,1357.0,Baltic Dry Index (Freight Proxy)
2024-01-19,1503.0,Baltic Dry Index (Freight Proxy)
2024-01-22,1518.0,Baltic Dry Index (Freight Proxy)
2024-01-23,1473.0,Baltic Dry Index (Freight Proxy)
2024-01-24,1507.0,Baltic Dry Index (Freight Proxy)
2024-01-25,1499.0,Baltic Dry Index (Freight Proxy)
2024-01-26,1518.0,Baltic Dry Index (Freight Proxy)
2024-01-29,1460.0,Baltic Dry Index (Freight Proxy)
2024-01-30,1397.0,Baltic Dry Index (Freight Proxy)
2024-01-31,1398.0,Baltic Dry Index (Freight Proxy)
2024-02-01,1388.0,Baltic Dry Index (Freight Proxy)
2024-02-02,1407.0,Baltic Dry Index (Freight Proxy)
2024-02-05,1436.0,Baltic Dry Index (Freight Proxy)
2024-02-06,1516.0,Baltic Dry Index (Freight Proxy)
2024-02-07,1487.0,Baltic Dry Index (Freight Proxy)
2024-02-08,1473.0,Baltic Dry Index (Freight Proxy)
2024-02-09,1545.0,Baltic Dry Index (Freight Proxy)
2024-02-12,1572.0,Baltic Dry Index (Freight Proxy)
2024-02-13,1585.0,Baltic Dry Index (Freight Proxy)
2024-02-14,1582.0,Baltic Dry Index (Freight Proxy)
2024-02-15,1581.0,Baltic Dry Index (Freight Proxy)
2024-02-16,1610.0,Baltic Dry Index (Freight Proxy)
2024-02-19,1629.0,Baltic Dry Index (Freight Proxy)
2024-02-20,1632.0,Baltic Dry Index (Freight Proxy)
2024-02-21,1676.0,Baltic Dry Index (Freight Proxy)
2024-02-22,1752.0,Baltic Dry Index (Freight Proxy)
2024-02-23,1866.0,Baltic Dry Index (Freight Proxy)
2024-02-26,1871.0,Baltic Dry Index (Freight Proxy)
2024-02-27,1899.0,Baltic Dry Index (Freight Proxy)
2024-02-28,2041.0,Baltic Dry Index (Freight Proxy)
2024-02-29,2111.0,Baltic Dry Index (Freight Proxy)
2024-03-01,2203.0,Baltic Dry Index (Freight Proxy)
2024-03-04,2297.0,Baltic Dry Index (Freight Proxy)
2024-03-05,2291.0,Baltic Dry Index (Freight Proxy)
2024-03-06,2176.0,Baltic Dry Index (Freight Proxy)
2024-03-07,2251.0,Baltic Dry Index (Freight Proxy)
2024-03-08,2345.0,Baltic Dry Index (Freight Proxy)
2024-03-11,2377.0,Baltic Dry Index (Freight Proxy)
2024-03-12,2315.0,Baltic Dry Index (Freight Proxy)
2024-03-13,2370.0,Baltic Dry Index (Freight Proxy)
2024-03-14,2350.0,Baltic Dry Index (Freight Proxy)
2024-03-15,2374.0,Baltic Dry Index (Freight Proxy)
2024-03-18,2419.0,Baltic Dry Index (Freight Proxy)
2024-03-19,2392.0,Baltic Dry Index (Freight Proxy)
2024-03-20,2284.0,Baltic Dry Index (Freight Proxy)
2024-03-21,2240.0,Baltic Dry Index (Freight Proxy)
2024-03-22,2196.0,Baltic Dry Index (Freight Proxy)
2024-03-25,2123.0,Baltic Dry Index (Freight Proxy)
2024-03-26,1989.0,Baltic Dry Index (Freight Proxy)
2024-03-27,1845.0,Baltic Dry Index (Freight Proxy)
2024-03-28,1821.0,Baltic Dry Index (Freight Proxy)
2024-04-02,1714.0,Baltic Dry Index (Freight Proxy)
2024-04-03,1711.0,Baltic Dry Index (Freight Proxy)
2024-04-04,1669.0,Baltic Dry Index (Freight Proxy)
2024-04-05,1628.0,Baltic Dry Index (Freight Proxy)
2024-04-08,1594.0,Baltic Dry Index (Freight Proxy)
2024-04-09,1570.0,Baltic Dry Index (Freight Proxy)
2024-04-10,1587.0,Baltic Dry Index (Freight Proxy)
2024-04-11,1690.0,Baltic Dry Index (Freight Proxy)
2024-04-12,1729.0,Baltic Dry Index (Freight Proxy)
2024-04-15,1730.0,Baltic Dry Index (Freight Proxy)
2024-04-16,1779.0,Baltic Dry Index (Freight Proxy)
2024-04-17,1844.0,Baltic Dry Index (Freight Proxy)
2024-04-18,1901.0,Baltic Dry Index (Freight Proxy)
2024-04-19,1919.0,Baltic Dry Index (Freight Proxy)
2024-04-22,1882.0,Baltic Dry Index (Freight Proxy)
2024-04-23,1804.0,Baltic Dry Index (Freight Proxy)
2024-04-24,1774.0,Baltic Dry Index (Freight Proxy)
2024-04-25,1743.0,Baltic Dry Index (Freight Proxy)
2024-04-26,1721.0,Baltic Dry Index (Freight Proxy)
2024-04-29,1684.0,Baltic Dry Index (Freight Proxy)
2024-04-30,1685.0,Baltic Dry Index (Freight Proxy)
2024-05-01,1688.0,Baltic Dry Index (Freight Proxy)
2024-05-02,1774.0,Baltic Dry Index (Freight Proxy)
2024-05-03,1876.0,Baltic Dry Index (Freight Proxy)
2024-05-07,2083.0,Baltic Dry Index (Freight Proxy)
2024-05-08,2203.0,Baltic Dry Index (Freight Proxy)
2024-05-09,2166.0,Baltic Dry Index (Freight Proxy)
2024-05-10,2129.0,Baltic Dry Index (Freight Proxy)
2024-05-13,2066.0,Baltic Dry Index (Freight Proxy)
2024-05-14,1993.0,Baltic Dry Index (Freight Proxy)
2024-05-15,1889.0,Baltic Dry Index (Freight Proxy)
2024-05-16,1817.0,Baltic Dry Index (Freight Proxy)
2024-05-17,1844.0,Baltic Dry Index (Freight Proxy)
2024-05-20,1847.0,Baltic Dry Index (Freight Proxy)
2024-05-21,1829.0,Baltic Dry Index (Freight Proxy)
2024-05-22,1804.0,Baltic Dry Index (Freight Proxy)
2024-05-23,1796.0,Baltic Dry Index (Freight Proxy)
2024-05-24,1797.0,Baltic Dry Index (Freight Proxy)
2024-05-28,1784.0,Baltic Dry Index (Freight Proxy)
2024-05-29,1790.0,Baltic Dry Index (Freight Proxy)
2024-05-30,1801.0,Baltic Dry Index (Freight Proxy)
2024-05-31,1815.0,Baltic Dry Index (Freight Proxy)
2024-06-03,1808.0,Baltic Dry Index (Freight Proxy)
2024-06-04,1813.0,Baltic Dry Index (Freight Proxy)
2024-06-05,1852.0,Baltic Dry Index (Freight Proxy)
2024-06-06,1869.0,Baltic Dry Index (Freight Proxy)
2024-06-07,1881.0,Baltic Dry Index (Freight Proxy)
2024-06-10,1883.0,Baltic Dry Index (Freight Proxy)
2024-06-11,1831.0,Baltic Dry Index (Freight Proxy)
2024-06-12,1836.0,Baltic Dry Index (Freight Proxy)
2024-06-13,1942.0,Baltic Dry Index (Freight Proxy)
2024-06-14,1948.0,Baltic Dry Index (Freight Proxy)
2024-06-17,1948.0,Baltic Dry Index (Freight Proxy)
2024-06-18,1961.0,Baltic Dry Index (Freight Proxy)
2024-06-19,1943.0,Baltic Dry Index (Freight Proxy)
2024-06-20,1984.0,Baltic Dry Index (Freight Proxy)
2024-06-21,1997.0,Baltic Dry Index (Freight Proxy)
2024-06-24,1973.0,Baltic Dry Index (Freight Proxy)
2024-06-25,1926.0,Baltic Dry Index (Freight Proxy)
2024-06-26,1964.0,Baltic Dry Index (Freight Proxy)
2024-06-27,2031.0,Baltic Dry Index (Freight Proxy)
2024-06-28,2050.0,Baltic Dry Index (Freight Proxy)
2024-07-01,2158.0,Baltic Dry Index (Freight Proxy)
2024-07-02,2179.0,Baltic Dry Index (Freight Proxy)
2024-07-03,2064.0,Baltic Dry Index (Freight Proxy)
2024-07-04,2021.0,Baltic Dry Index (Freight Proxy)
2024-07-05,1966.0,Baltic Dry Index (Freight Proxy)
2024-07-08,1940.0,Baltic Dry Index (Freight Proxy)
2024-07-09,1894.0,Baltic Dry Index (Freight Proxy)
2024-07-10,1939.0,Baltic Dry Index (Freight Proxy)
2024-07-11,1947.0,Baltic Dry Index (Freight Proxy)
2024-07-12,1997.0,Baltic Dry Index (Freight Proxy)
2024-07-15,1993.0,Baltic Dry Index (Freight Proxy)
2024-07-16,1942.0,Baltic Dry Index (Freight Proxy)
2024-07-17,1890.0,Baltic Dry Index (Freight Proxy)
2024-07-18,1912.0,Baltic Dry Index (Freight Proxy)
2024-07-19,1902.0,Baltic Dry Index (Freight Proxy)
2024-07-22,1896.0,Baltic Dry Index (Freight Proxy)
2024-07-23,1869.0,Baltic Dry Index (Freight Proxy)
2024-07-24,1864.0,Baltic Dry Index (Freight Proxy)
2024-07-25,1834.0,Baltic Dry Index (Freight Proxy)
2024-07-26,1808.0,Baltic Dry Index (Freight Proxy)
2024-07-29,1797.0,Baltic Dry Index (Freight Proxy)
2024-07-30,1762.0,Baltic Dry Index (Freight Proxy)
2024-07-31,1708.0,Baltic Dry Index (Freight Proxy)
2024-08-01,1668.0,Baltic Dry Index (Freight Proxy)
2024-08-02,1675.0,Baltic Dry Index (Freight Proxy)
2024-08-05,1677.0,Baltic Dry Index (Freight Proxy)
2024-08-06,1685.0,Baltic Dry Index (Freight Proxy)
2024-08-07,1698.0,Baltic Dry Index (Freight Proxy)
2024-08-08,1683.0,Baltic Dry Index (Freight Proxy)
2024-08-09,1670.0,Baltic Dry Index (Freight Proxy)
2024-08-12,1655.0,Baltic Dry Index (Freight Proxy)
2024-08-13,1670.0,Baltic Dry Index (Freight Proxy)
2024-08-14,1728.0,Baltic Dry Index (Freight Proxy)
2024-08-15,1692.0,Baltic Dry Index (Freight Proxy)
2024-08-16,1691.0,Baltic Dry Index (Freight Proxy)
2024-08-19,1708.0,Baltic Dry Index (Freight Proxy)
2024-08-20,1735.0,Baltic Dry Index (Freight Proxy)
2024-08-21,1759.0,Baltic Dry Index (Freight Proxy)
2024-08-22,1768.0,Baltic Dry Index (Freight Proxy)
2024-08-23,1762.0,Baltic Dry Index (Freight Proxy)
2024-08-27,1721.0,Baltic Dry Index (Freight Proxy)
2024-08-28,1755.0,Baltic Dry Index (Freight Proxy)
2024-08-29,1827.0,Baltic Dry Index (Freight Proxy)
2024-08-30,1814.0,Baltic Dry Index (Freight Proxy)
2024-09-02,1919.0,Baltic Dry Index (Freight Proxy)
2024-09-03,1947.0,Baltic Dry Index (Freight Proxy)
2024-09-04,1902.0,Baltic Dry Index (Freight Proxy)
2024-09-05,1919.0,Baltic Dry Index (Freight Proxy)
2024-09-06,1941.0,Baltic Dry Index (Freight Proxy)
2024-09-09,1958.0,Baltic Dry Index (Freight Proxy)
2024-09-10,1941.0,Baltic Dry Index (Freight Proxy)
2024-09-11,1963.0,Baltic Dry Index (Freight Proxy)
2024-09-12,1927.0,Baltic Dry Index (Freight Proxy)
2024-09-13,1890.0,Baltic Dry Index (Freight Proxy)
2024-09-16,1896.0,Baltic Dry Index (Freight Proxy)
2024-09-17,1901.0,Baltic Dry Index (Freight Proxy)
2024-09-18,1890.0,Baltic Dry Index (Freight Proxy)
2024-09-19,1976.0,Baltic Dry Index (Freight Proxy)
2024-09-20,1977.0,Baltic Dry Index (Freight Proxy)
2024-09-23,1999.0,Baltic Dry Index (Freight Proxy)
2024-09-24,2014.0,Baltic Dry Index (Freight Proxy)
2024-09-25,2016.0,Baltic Dry Index (Freight Proxy)
2024-09-26,2091.0,Baltic Dry Index (Freight Proxy)
2024-09-27,2110.0,Baltic Dry Index (Freight Proxy)
2024-09-30,2084.0,Baltic Dry Index (Freight Proxy)
2024-10-01,2030.0,Baltic Dry Index (Freight Proxy)
2024-10-02,1978.0,Baltic Dry Index (Freight Proxy)
2024-10-03,1941.0,Baltic Dry Index (Freight Proxy)
2024-10-04,1928.0,Baltic Dry Index (Freight Proxy)
2024-10-07,1907.0,Baltic Dry Index (Freight Proxy)
2024-10-08,1860.0,Baltic Dry Index (Freight Proxy)
2024-10-09,1799.0,Baltic Dry Index (Freight Proxy)
2024-10-10,1790.0,Baltic Dry Index (Freight Proxy)
2024-10-11,1809.0,Baltic Dry Index (Freight Proxy)
2024-10-14,1814.0,Baltic Dry Index (Freight Proxy)
2024-10-15,1766.0,Baltic Dry Index (Freight Proxy)
2024-10-16,1676.0,Baltic Dry Index (Freight Proxy)
2024-10-17,1594.0,Baltic Dry Index (Freight Proxy)
2024-10-18,1576.0,Baltic Dry Index (Freight Proxy)
