Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,monthly_change_pct,yoy_change_pct,last_updated_date
2023-04,2023-04-30,-1.29,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.15000000000000013,-4.85,-11.996417604833171,-841.2845380421074,Mar-25
2023-05,2023-05-31,-1.56,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.27,-4.33,-21.288063288619018,-722.626090929607,Mar-25
2023-06,2023-06-30,-1.09,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.47,-3.5300000000000002,35.376394904060795,-552.2001730752462,Mar-25
2023-07,2023-07-31,-0.92,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.17000000000000004,-2.7600000000000002,13.28475487567057,-356.6965900923191,Mar-25
2023-08,2023-08-31,-1.06,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.14,-2.59,-11.37733208369052,-280.12279804698227,Mar-25
2023-09,2023-09-30,-0.65,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.41000000000000003,-1.6800000000000002,34.65890221842219,-152.68545533408067,Mar-25
2023-10,2023-10-31,-0.35,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.30000000000000004,-1.4899999999999998,26.471733231217154,-127.98639767079982,Mar-25
2023-11,2023-11-30,0.17,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.52,-1.1,49.784774854450426,-99.20358073898899,Mar-25
2023-12,2023-12-31,-0.16,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.33,-1.5,-35.550962031631286,-156.92253150778822,Mar-25
2024-01,2024-01-31,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.18000000000000002,-1.4300000000000002,-24.16552714222634,-163.97831834998448,Mar-25
2024-02,2024-02-29,-0.18,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.16000000000000003,0.03,29.893292210206063,2.913779495829007,Mar-25
2024-03,2024-03-31,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.16000000000000003,0.7999999999999998,-29.746281784859868,63.98089389244351,Mar-25
2024-04,2024-04-30,-0.94,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.5999999999999999,0.3500000000000001,-113.24557818028384,27.595637596357992,Mar-25
2024-05,2024-05-31,-0.57,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.37,0.9900000000000001,73.99506715994451,74.51623607451104,Mar-25
2024-06,2024-06-30,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.22999999999999993,0.75,57.10725102560916,58.60921268678191,Mar-25
2024-07,2024-07-31,-0.04,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.30000000000000004,0.88,82.10242377119901,71.51465881176898,Mar-25
2024-08,2024-08-31,0.21,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.25,1.27,70.26747437193525,107.35806296925898,Mar-25
2024-09,2024-09-30,0.11,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.09999999999999999,0.76,-30.346232470074575,67.06172418575011,Mar-25
2024-10,2024-10-31,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.45,0.009999999999999953,-137.21438982032078,0.9573995164317345,Mar-25
2024-11,2024-11-30,-0.27,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.07,-0.44000000000000006,21.365162992635458,-47.40128270884171,Mar-25
2024-12,2024-12-31,-0.26,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.010000000000000009,-0.1,3.306281288495974,-13.425292856792408,Mar-25
2025-01,2025-01-31,-0.18,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.08000000000000002,0.16000000000000003,26.611618734772772,29.893292210206063,Mar-25
2025-02,2025-02-28,0.01,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.19,0.19,63.117994390913054,35.32370961952109,Mar-25
2025-03,2025-03-31,-0.18,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,True,-0.19,0.16000000000000003,-61.18069758443555,30.19882084807571,Mar-25
