Month,Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description,yearly_adjustment,is_latest,last_updated_date
2020-11,2020-11-01,166.35750000000002,1.476172321768976,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-12,2020-12-01,170.1575,2.2842372601175054,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-01,2021-01-01,176.6075,3.790605762308452,2.182717620852248,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-02,2021-02-01,185.08499999999998,4.800192517305324,7.977947610991154,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-03,2021-03-01,190.96,3.1742172515330846,13.087765012436336,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-04,2021-04-01,197.33499999999998,3.3383954754922396,26.97702850524415,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-05,2021-05-01,206.58499999999998,4.6874604099627515,37.663679072401955,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-06,2021-06-01,210.235,1.766827213979738,36.01720958819914,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-07,2021-07-01,212.1345,0.903512735748091,33.30055297222572,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-08,2021-08-01,217.93775,2.7356464884306764,34.37394990366087,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-09,2021-09-01,216.191,-0.8014903338223855,32.66303597453402,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-10,2021-10-01,219.44875000000002,1.5068851154766083,33.86122760198247,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-11,2021-11-01,223.96550000000002,2.058225439880612,34.62903686338157,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2021-12,2021-12-01,224.85375000000002,0.3966012622479864,32.144483787079636,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-01,2022-01-01,225.97675000000004,0.49943574434494487,27.95422051724874,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-02,2022-02-01,229.75475,1.6718534096981097,24.134721884539555,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-03,2022-03-01,236.3265,2.8603325937766266,23.757069543359876,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-04,2022-04-01,238.6245,0.9723835456455276,20.92355638888186,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-05,2022-05-01,246.42024999999998,3.266952890419872,19.28274076046179,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-06,2022-06-01,249.09924999999998,1.0871671463688504,18.4860988893381,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-07,2022-07-01,249.21724999999998,0.04737067654760896,17.480772811588864,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-08,2022-08-01,238.62150000000003,-4.251611796534938,9.490668780420108,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-09,2022-09-01,234.25650000000002,-1.8292567937088666,8.35626829979046,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-10,2022-10-01,231.163,-1.3205610089794706,5.338034506917899,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-11,2022-11-01,229.18275,-0.8566466086700752,2.329488247073752,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2022-12,2022-12-01,226.535,-1.1553007370755486,0.7477082325733742,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-01,2023-01-01,228.46724999999998,0.8529587039530329,1.1021045306651933,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-02,2023-02-01,229.06,0.25944637579347063,-0.3023876546621951,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-03,2023-03-01,226.248,-1.2276259495328734,-4.264650811483273,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-04,2023-04-01,227.32524999999998,0.47613680562921257,-4.735159214581919,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-05,2023-05-01,224.49525,-1.2449123007672869,-8.897401897774227,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-06,2023-06-01,222.21974999999998,-1.0136071921343692,-10.790678815773235,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-07,2023-07-01,218.09875,-1.8544706309857606,-12.48649521652293,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-08,2023-08-01,216.83249999999998,-0.5805856292161349,-9.131197314575612,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-09,2023-09-01,217.9915,0.5345139681551592,-6.943243837417534,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-10,2023-10-01,221.18349999999998,1.4642772768662882,-4.317083616322693,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-11,2023-11-01,217.2125,-1.7953418767674645,-5.22301525747465,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2023-12,2023-12-01,213.964,-1.495540081717217,-5.5492528748317005,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-01,2024-01-01,209.17075000000003,-2.2402133069114316,-8.446068309571697,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-02,2024-02-01,212.81775,1.743551619908601,-7.09082773072558,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-03,2024-03-01,213.84974999999997,0.48492195787239734,-5.479937944202828,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-04,2024-04-01,216.83024999999998,1.3937355549866304,-4.616733072986834,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-05,2024-05-01,216.10375,-0.33505472598956976,-3.73794100320608,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-06,2024-06-01,216.78449999999998,0.31501072979991385,-2.4458897105230304,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-07,2024-07-01,220.52549999999997,1.7256768818803891,1.1126840479369848,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-08,2024-08-01,220.21175,-0.1422737960009024,1.558461024062363,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-09,2024-09-01,218.02249999999998,-0.9941567604816792,0.014220737964554253,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-10,2024-10-01,215.94225,-0.9541446410347487,-2.369638784086503,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-11,2024-11-01,214.21125,-0.8016032064128265,-1.3817114576739398,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2024-12,2024-12-01,214.32325,0.052284835647053995,0.167902076984916,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2025-01,2025-01-01,218.62599999999998,2.0075983356915295,4.52035000113542,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2025-02,2025-02-01,217.97875,-0.29605353434631887,2.425079674980113,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2025-03,2025-03-01,219.20999999999998,0.564848637768578,2.5065495751105615,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,True,Mar-25
